G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,Tue Jan 9 2018,8:30p ET,,Box Score,,Orlando Magic,W,,114,99,14,28,W 1,
43,Wed Jan 10 2018,7:00p ET,,Box Score,@,Charlotte Hornets,W,,115,111,15,28,W 2,
44,Sat Jan 13 2018,2:00p ET,,Box Score,,Los Angeles Lakers,L,OT,101,107,15,29,L 1,
45,Tue Jan 16 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,102,105,15,30,L 2,
46,Sat Jan 20 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,108,117,15,31,L 3,
47,Mon Jan 22 2018,8:30p ET,,Box Score,,Washington Wizards,W,,98,75,16,31,W 1,
48,Wed Jan 24 2018,8:00p ET,,Box Score,,Houston Rockets,L,,97,104,16,32,L 1,
49,Fri Jan 26 2018,8:30p ET,,Box Score,,Portland Trail Blazers,L,,93,107,16,33,L 2,
50,Sat Jan 27 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,89,91,16,34,L 3,
51,Mon Jan 29 2018,8:30p ET,,Box Score,,Miami Heat,L,,88,95,16,35,L 4,
52,Wed Jan 31 2018,10:30p ET,,Box Score,@,Phoenix Suns,L,,88,102,16,36,L 5,
53,Sat Feb 3 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,106,99,17,36,W 1,
54,Mon Feb 5 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,101,104,17,37,L 1,
55,Thu Feb 8 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,103,121,17,38,L 2,
56,Sat Feb 10 2018,8:30p ET,,Box Score,,Los Angeles Lakers,W,,130,123,18,38,W 1,
57,Sun Feb 11 2018,7:00p ET,,Box Score,@,Houston Rockets,L,,97,104,18,39,L 1,
58,Tue Feb 13 2018,8:30p ET,,Box Score,,Sacramento Kings,L,,109,114,18,40,L 2,
